City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,zdvinsk,54.7021,78.661,-21.36,97,77,3.0,RU,1670454864
189,ponta do sol,32.6667,-17.1,18.73,85,29,6.86,PT,1670454865
190,kapuskasing,49.4169,-82.4331,-14.93,88,100,3.24,CA,1670454842
191,ballina,-28.8667,153.5667,27.1,83,82,1.57,AU,1670454866
192,vestmannaeyjar,63.4427,-20.2734,1.53,68,94,2.97,IS,1670454868
193,bujumbura,-3.3822,29.3644,21.24,84,85,1.82,BI,1670454869
194,new norfolk,-42.7826,147.0587,12.72,62,100,2.24,AU,1670454869
195,nikolskoye,59.7035,30.7861,-5.05,87,100,5.49,RU,1670454870
196,sungairaya,0.7,108.9,24.16,94,100,1.33,ID,1670454871
197,eureka,40.8021,-124.1637,11.34,80,1,2.24,US,1670454871
198,tuatapere,-46.1333,167.6833,17.65,64,100,3.05,NZ,1670454872
199,vestmanna,62.1564,-7.1664,-0.49,93,100,8.23,FO,1670454873
200,wairoa,-39.0333,177.3667,17.53,62,99,1.79,NZ,1670454874
201,cap malheureux,-19.9842,57.6142,24.7,77,27,3.13,MU,1670454874
202,husavik,66.0449,-17.3389,-3.47,69,100,3.12,IS,1670454875
203,mount isa,-20.7333,139.5,34.87,21,4,4.12,AU,1670454875
204,tuktoyaktuk,69.4541,-133.0374,-28.15,95,25,4.98,CA,1670454876
205,abeche,13.8292,20.8324,18.92,19,4,5.2,TD,1670454877
206,guerrero negro,27.9769,-114.0611,17.98,57,2,7.79,MX,1670454877
207,port hardy,50.6996,-127.4199,5.24,85,100,9.22,CA,1670454878
208,myaundzha,63.0494,147.1858,-41.83,100,100,0.58,RU,1670454879
209,iaciara,-14.0958,-46.6317,22.23,87,96,1.33,BR,1670454879
210,cherdyn,60.403,56.4787,-10.71,87,100,2.8,RU,1670454880
211,grindavik,63.8424,-22.4338,-1.74,74,75,1.54,IS,1670454881
212,palmer,42.1584,-72.3287,14.36,87,100,3.09,US,1670454882
213,geraldton,-28.7667,114.6,21.23,68,100,6.17,AU,1670454883
214,saint-francois,46.4154,3.9054,-1.29,100,100,0.0,FR,1670454883
215,voznesenye,61.0106,35.4781,-7.06,83,73,5.68,RU,1670454884
216,tilichiki,60.4667,166.1,-16.17,97,99,3.97,RU,1670454885
217,pontes e lacerda,-15.2261,-59.3353,26.61,70,96,1.52,BR,1670454885
218,macae,-22.3708,-41.7869,22.41,93,93,0.97,BR,1670454886
219,cervo,43.6702,-7.4101,12.2,89,100,8.6,ES,1670454658
220,sobolevo,54.4299,31.8996,-4.36,93,100,7.83,RU,1670454887
221,mahebourg,-20.4081,57.7,24.58,82,39,7.99,MU,1670454888
222,biloela,-24.4167,150.5,32.05,33,45,6.95,AU,1670454888
223,paita,-5.0892,-81.1144,20.3,78,89,6.44,PE,1670454889
224,batetskiy,58.6461,30.3027,-4.72,92,100,5.74,RU,1670454889
225,bokoro,12.3807,17.0568,20.93,17,4,5.0,TD,1670454890
226,margate,51.3813,1.3862,2.61,85,33,1.34,GB,1670454891
227,kozelsk,54.0375,35.7716,-7.3,93,100,6.48,RU,1670454891
228,blackwater,-23.5833,148.8833,32.77,33,26,4.7,AU,1670454892
229,cap-aux-meules,47.3821,-61.8597,4.64,90,100,8.18,CA,1670454892
230,saint george,37.1041,-113.5841,9.68,72,75,1.34,US,1670454893
231,antofagasta,-23.65,-70.4,19.6,78,28,2.0,CL,1670454668
232,hondo,32.45,130.2,11.31,61,40,3.46,JP,1670454894
233,connersville,39.6412,-85.1411,9.67,89,100,2.24,US,1670454894
234,vanimo,-2.6741,141.3028,24.47,94,100,1.36,PG,1670454895
235,shitkino,56.3703,98.3543,-12.5,91,100,5.28,RU,1670454896
236,liverpool,53.4106,-2.9779,1.4,91,0,1.03,GB,1670454789
237,asosa,10.0667,34.5333,17.55,49,40,1.75,ET,1670454896
238,kaitangata,-46.2817,169.8464,18.15,55,100,4.45,NZ,1670454897
239,boyolangu,-8.1181,111.8935,24.56,87,92,0.43,ID,1670454898
240,barcelos,41.5388,-8.6151,13.29,82,100,5.12,PT,1670454898
241,baijiantan,45.6333,85.1833,-12.18,95,97,1.87,CN,1670454899
242,vryburg,-26.9566,24.7284,18.68,70,100,5.11,ZA,1670454900
243,jalu,29.0331,21.5482,18.49,43,38,4.69,LY,1670454900
244,sao cristovao,-11.0147,-37.2064,25.95,83,0,3.09,BR,1670454901
245,mahajanga,-15.7167,46.3167,25.01,94,20,2.06,MG,1670454587
246,verkhoyansk,67.5447,133.385,-32.42,97,100,2.11,RU,1670454906
247,magistralnyy,56.1725,107.4458,-12.72,95,100,2.91,RU,1670454907
248,houston,29.7633,-95.3633,26.86,74,40,6.69,US,1670454728
249,safaga,26.7292,33.9365,19.12,52,0,4.09,EG,1670454908
250,phangnga,8.4509,98.5298,24.02,95,82,1.93,TH,1670454909
251,matay,28.419,30.7792,14.44,59,0,1.01,EG,1670454910
252,portobelo,9.55,-79.65,26.64,80,11,4.81,PA,1670454910
253,tucuman,-26.8241,-65.2226,34.0,29,75,7.2,AR,1670454911
254,koppies,-27.2418,27.5742,17.0,79,100,1.27,ZA,1670454911
255,salekhard,66.53,66.6019,-12.78,86,100,4.35,RU,1670454913
256,irbil,36.1926,44.0106,4.9,87,46,1.54,IQ,1670454913
257,cidreira,-30.1811,-50.2056,21.15,89,0,3.26,BR,1670454914
258,fort nelson,58.8053,-122.7002,-17.81,80,100,0.89,CA,1670454915
259,yurgamysh,55.3714,64.4656,-17.8,94,11,3.54,RU,1670454917
260,neuquen,-38.9516,-68.0591,28.94,18,0,5.66,AR,1670454657
261,svetlogorsk,52.6333,29.7333,0.09,98,100,5.69,BY,1670454918
262,wucheng,29.6008,118.175,9.38,97,100,0.44,CN,1670454918
263,beringovskiy,63.05,179.3167,-13.15,79,2,3.39,RU,1670454919
264,upernavik,72.7868,-56.1549,-4.95,78,100,12.36,GL,1670454920
265,touros,-5.1989,-35.4608,26.2,78,42,6.43,BR,1670454920
266,tiksi,71.6872,128.8694,-22.63,100,100,4.49,RU,1670454921
267,niquelandia,-14.4739,-48.4597,24.22,78,100,0.71,BR,1670454922
268,naica,27.85,-105.4833,26.35,22,59,1.55,MX,1670454923
269,tela,15.7833,-87.45,27.97,74,40,3.6,HN,1670454924
270,iqaluit,63.7506,-68.5145,-10.15,78,100,7.2,CA,1670454925
271,san pedro pinula,14.6667,-89.85,19.05,83,58,2.5,GT,1670454926
272,kristiansund,63.1115,7.732,1.03,93,40,2.06,NO,1670454926
273,ostrovnoy,68.0531,39.5131,-5.77,90,92,4.92,RU,1670454928
274,alofi,-19.0595,-169.9187,29.94,70,75,4.63,NU,1670454928
275,pangody,65.85,74.4859,-11.57,94,100,5.38,RU,1670454929
276,kendari,-3.945,122.4989,24.87,88,61,0.97,ID,1670454930
277,tabuk,17.4189,121.4443,23.19,93,100,1.15,PH,1670454931
278,dwarka,22.2394,68.9678,23.14,59,0,4.21,IN,1670454931
279,kaka,37.3482,59.6143,0.29,54,4,2.43,TM,1670454932
280,itumba,-9.4,33.1833,17.8,73,30,1.82,TZ,1670454932
281,bonthe,7.5264,-12.505,26.21,83,60,2.94,SL,1670454933
282,padang,-0.9492,100.3543,24.31,88,100,1.54,ID,1670454894
283,san carlos de bariloche,-41.1456,-71.3082,12.86,88,40,8.75,AR,1670454934
284,ahipara,-35.1667,173.1667,17.22,79,94,6.69,NZ,1670454934
285,anadyr,64.75,177.4833,-20.29,70,0,3.0,RU,1670454935
286,mountain home,43.133,-115.6912,-1.29,100,0,2.57,US,1670454919
287,along,28.1667,94.7667,10.54,68,0,0.74,IN,1670454936
288,te anau,-45.4167,167.7167,12.99,92,100,1.39,NZ,1670454936
289,los llanos de aridane,28.6585,-17.9182,19.86,90,0,2.06,ES,1670454819
290,winnemucca,40.973,-117.7357,4.03,56,0,2.57,US,1670454937
291,panzhihua,26.5851,101.7128,7.51,77,12,0.57,CN,1670454938
292,roald,62.5833,6.1333,3.2,93,75,4.12,NO,1670454939
293,fukue,32.6881,128.8419,13.0,59,77,5.68,JP,1670454939
294,iwanai,42.9744,140.5089,-1.06,80,100,5.48,JP,1670454940
295,san rafael,-34.6177,-68.3301,34.72,13,6,2.0,AR,1670454216
296,carora,10.1755,-70.0827,24.63,62,73,1.96,VE,1670454941
297,chokurdakh,70.6333,147.9167,-24.24,97,100,3.48,RU,1670454941
298,myski,53.709,87.8014,-22.64,100,91,1.11,RU,1670454942
299,roebourne,-20.7833,117.1333,26.66,45,1,6.28,AU,1670454942
300,tukrah,32.5341,20.5791,19.35,57,59,3.74,LY,1670454943
301,sibolga,1.7427,98.7792,23.91,91,100,0.54,ID,1670454944
302,pangai,-19.8,-174.35,30.06,70,75,3.09,TO,1670454944
303,alta gracia,-31.6529,-64.4283,31.43,26,71,1.59,AR,1670454945
304,lubao,14.9167,120.55,25.84,85,92,1.94,PH,1670454945
305,mount vernon,40.9126,-73.8371,14.23,89,100,4.12,US,1670454946
306,tual,-5.6667,132.75,28.34,70,97,1.91,ID,1670454947
307,thinadhoo,0.5333,72.9333,27.8,77,92,7.24,MV,1670454947
308,henties bay,-22.116,14.2845,14.14,90,0,2.18,NA,1670454948
309,bichura,50.5881,107.6022,-17.42,90,96,1.79,RU,1670454948
310,conakry,9.538,-13.6773,27.41,75,5,3.58,GN,1670454858
311,posse,-14.0931,-46.3694,21.12,85,81,0.74,BR,1670454949
312,jining,35.405,116.5814,2.65,66,1,0.26,CN,1670454950
313,udachnyy,66.4167,112.4,-33.64,66,98,1.58,RU,1670454951
314,provideniya,64.3833,-173.3,-6.94,73,75,3.13,RU,1670454951
315,kattivakkam,13.2167,80.3167,24.05,73,100,7.97,IN,1670454952
316,dhidhdhoo,6.8833,73.1,26.95,73,100,0.24,MV,1670454952
317,san-pedro,4.7485,-6.6363,25.54,87,76,3.06,CI,1670454953
318,meulaboh,4.1363,96.1285,23.64,90,100,1.81,ID,1670454953
319,andra,62.5147,65.8878,-11.02,92,99,4.37,RU,1670454954
320,mildura,-34.2,142.15,14.48,51,0,7.91,AU,1670454954
321,marawi,7.9986,124.2928,20.83,93,93,0.64,PH,1670454955
322,saint anthony,45.0205,-93.218,-8.22,71,0,3.6,US,1670454955
323,calabozo,8.9242,-67.4293,26.39,46,100,0.95,VE,1670454956
324,luderitz,-26.6481,15.1594,14.96,83,0,4.35,NA,1670454956
325,nauta,-4.5061,-73.5757,24.36,91,96,1.4,PE,1670454957
326,tambopata,-12.7333,-69.1833,26.94,65,0,0.0,PE,1670454957
327,saint-philippe,-21.3585,55.7679,23.77,87,38,6.98,RE,1670454958
328,kawalu,-7.3817,108.2082,22.7,93,100,0.99,ID,1670454959
329,vaitape,-16.5167,-151.75,26.92,77,100,8.69,PF,1670454960
330,waingapu,-9.6567,120.2641,26.78,72,96,1.13,ID,1670454960
331,vazante,-17.9869,-46.9078,23.48,72,99,1.79,BR,1670454961
332,mason city,43.1536,-93.201,-3.01,82,0,3.09,US,1670454961
333,pahalgam,34.0333,75.3333,0.35,51,96,3.13,IN,1670454962
334,beloha,-25.1667,45.05,23.82,81,0,1.82,MG,1670454963
335,salinopolis,-0.6136,-47.3561,26.75,78,11,4.8,BR,1670454963
336,esperance,-33.8667,121.9,16.0,78,96,10.57,AU,1670454964
337,villa union,23.2,-106.2333,26.98,69,0,2.57,MX,1670454965
338,dauriya,49.9333,116.8667,-18.25,94,33,3.97,RU,1670454966
339,alta floresta,-9.8756,-56.0861,24.19,82,85,0.87,BR,1670454746
340,aberdeen,57.1437,-2.0981,1.27,85,75,5.14,GB,1670454966
341,plouzane,48.3833,-4.6167,5.1,90,100,2.06,FR,1670454967
342,tiznit,29.5833,-9.5,19.49,41,98,2.58,MA,1670454968
343,itatinga,-23.1017,-48.6158,20.07,90,44,1.58,BR,1670454968
344,hofn,64.2539,-15.2082,-2.76,59,7,9.56,IS,1670454969
345,preobrazheniye,42.9019,133.9064,-5.69,72,5,3.6,RU,1670454970
346,namibe,-15.1961,12.1522,20.2,77,7,1.42,AO,1670454971
347,inhambane,-23.865,35.3833,24.73,87,19,3.36,MZ,1670454972
348,qaqortoq,60.7167,-46.0333,-6.7,73,96,2.25,GL,1670454818
349,pangnirtung,66.1451,-65.7125,-11.0,62,100,2.57,CA,1670454973
350,tessalit,20.1986,1.0114,23.91,16,0,5.57,ML,1670454973
351,alberton,46.8168,-64.0654,7.07,89,100,9.61,CA,1670454974
352,szod,47.7244,19.1705,0.51,90,12,1.3,HU,1670454975
353,wladyslawowo,54.7909,18.4009,1.38,93,100,6.45,PL,1670454719
354,mirpur sakro,24.5474,67.6277,20.55,51,0,1.92,PK,1670454977
355,raymondville,26.4815,-97.7831,27.06,59,1,6.71,US,1670454978
356,ketchikan,55.3422,-131.6461,6.99,87,100,7.2,US,1670454978
357,kitimat,54.0524,-128.6534,3.21,29,100,0.46,CA,1670454979
358,seoul,37.5683,126.9778,0.69,60,8,0.74,KR,1670454864
359,mrakovo,52.7161,56.6244,-22.48,99,34,1.18,RU,1670454980
360,paamiut,61.994,-49.6678,-3.58,79,94,3.3,GL,1670454980
361,yumen,40.2833,97.2,-9.84,80,86,2.01,CN,1670454981
362,cherskiy,68.75,161.3,-32.49,97,37,2.43,RU,1670454982
363,nouadhibou,20.931,-17.0347,18.99,88,0,3.09,MR,1670454982
